episode,timestep,reward
8,2000,-168.4159
18,4000,-267.0571
28,6000,-178.972
36,8000,-145.855
45,10000,-248.9705
55,12000,-154.1583
64,14000,-261.8335
73,16000,-245.2211
82,18000,-85.301
92,20000,-255.7011
102,22000,-161.2283
110,24000,-142.4895
120,26000,-139.6694
129,28000,-190.7821
138,30000,-220.7568
148,32000,-240.0303
157,34000,-164.7236
167,36000,-119.6606
176,38000,-102.7615
184,40000,-111.8051
194,42000,-162.4968
203,44000,-63.8805
213,46000,-250.3651
223,48000,-57.1535
232,50000,-137.0798
241,52000,-209.4498
250,54000,-266.5646
259,56000,-140.3095
269,58000,-176.3953
278,60000,-162.3526
287,62000,-80.4743
296,64000,-220.896
305,66000,-293.9666
315,68000,-281.9548
324,70000,-154.4557
334,72000,-141.6585
344,74000,-342.0235
354,76000,-280.4113
363,78000,-210.0239
373,80000,-220.712
382,82000,-247.7148
391,84000,-114.19
400,86000,-384.4295
409,88000,-275.0621
419,90000,-228.9143
428,92000,-124.7456
438,94000,-301.2402
447,96000,-269.3656
456,98000,-367.8207
465,100000,-193.8028
473,102000,-130.7934
483,104000,-186.7097
492,106000,-142.3507
502,108000,-207.0019
512,110000,-146.3512
521,112000,-196.129
532,114000,-123.3925
542,116000,-116.9536
552,118000,-171.6503
561,120000,-50.3041
571,122000,-120.4959
581,124000,-116.3694
590,126000,-104.7819
599,128000,16.3918
609,130000,-170.3394
618,132000,1.0709
628,134000,-69.0479
637,136000,-15.1964
647,138000,-167.9307
656,140000,-132.9657
666,142000,-159.9874
676,144000,-119.876
685,146000,-89.6936
695,148000,20.2565
705,150000,-210.0569
715,152000,-223.7251
725,154000,-44.5671
734,156000,-56.5917
744,158000,-181.0295
753,160000,-206.17
762,162000,-153.4215
772,164000,-169.6382
782,166000,-21.9557
791,168000,19.1205
800,170000,-115.3495
810,172000,-61.4336
819,174000,-98.0393
829,176000,-106.1229
839,178000,-224.2016
850,180000,-107.1672
860,182000,-258.3662
869,184000,-69.095
879,186000,-225.9832
888,188000,-141.3331
898,190000,-269.3836
908,192000,-136.3989
917,194000,-287.6049
927,196000,-227.4122
936,198000,-209.1773
946,200000,-249.8553
955,202000,-334.2046
964,204000,-44.3528
974,206000,-109.0001
983,208000,-109.1642
993,210000,-83.7394
1003,212000,33.7842
1012,214000,-98.6115
1022,216000,-88.6935
1031,218000,-60.8862
1041,220000,-3.0848
1051,222000,19.2525
1060,224000,-78.1418
1070,226000,-126.9113
1080,228000,-13.6448
1089,230000,-4.9015
1099,232000,70.6521
1109,234000,-44.1715
1119,236000,-48.0213
1129,238000,-149.7863
1139,240000,-21.6527
1148,242000,-142.58
1158,244000,-118.585
1168,246000,-190.8715
1177,248000,-90.5972
1187,250000,-103.3114
1197,252000,-119.2604
1206,254000,114.7911
1216,256000,-2.8158
1226,258000,-28.5224
1236,260000,-71.1251
1246,262000,-61.5534
1256,264000,15.994
1266,266000,24.1506
1276,268000,-53.5308
1285,270000,-54.7871
1295,272000,10.2879
1305,274000,-33.7949
1315,276000,-33.915
1325,278000,55.6855
1335,280000,-49.692
1345,282000,-106.6507
1355,284000,-69.3901
1365,286000,-79.8214
1374,288000,-222.4368
1384,290000,-57.4207
1394,292000,-100.7902
1404,294000,-6.2145
1413,296000,10.6347
1423,298000,-36.1876
1433,300000,-5.522
1443,302000,-111.2723
1452,304000,-46.4669
1462,306000,-72.672
1473,308000,8.6008
1483,310000,-19.0853
1493,312000,-53.3
1503,314000,-4.6747
1513,316000,66.3186
1522,318000,81.6131
1532,320000,-77.5991
1543,322000,10.1101
1553,324000,31.4821
1563,326000,-20.1691
1572,328000,43.5156
1582,330000,-58.5976
1592,332000,-42.6655
1602,334000,-115.9196
1612,336000,-120.6314
1621,338000,2.5504
1631,340000,17.348
1641,342000,-0.4767
1651,344000,-7.5453
1661,346000,-98.4532
1671,348000,17.187
1680,350000,-49.507
1690,352000,-94.1945
1701,354000,25.8977
1711,356000,17.3334
1721,358000,-62.1691
1731,360000,-71.6394
1741,362000,-22.0954
1751,364000,-97.2506
1761,366000,-19.3944
1771,368000,-50.5427
1780,370000,-53.8955
1790,372000,11.2291
1800,374000,-36.0548
1810,376000,17.6166
1820,378000,-79.7862
1830,380000,-68.0376
1840,382000,-26.9756
1850,384000,-49.557
1860,386000,-19.965
1870,388000,-53.6416
1880,390000,79.5385
1889,392000,19.4829
1899,394000,-10.1784
1908,396000,-136.2908
1918,398000,-63.3608
1928,400000,-54.7632
1937,402000,-116.5194
1946,404000,-133.7513
1957,406000,30.4009
1967,408000,-30.1183
1976,410000,-31.7554
1986,412000,-95.7749
1996,414000,8.2266
2006,416000,80.0471
2016,418000,-13.9141
2026,420000,10.9086
2036,422000,-92.0747
2046,424000,-3.0361
2056,426000,36.725
2066,428000,63.6247
2076,430000,-4.9515
2086,432000,102.2378
2096,434000,-19.8276
2106,436000,45.7784
2116,438000,64.376
2127,440000,23.2411
2137,442000,-10.1421
2147,444000,-53.342
2157,446000,-43.1962
2166,448000,-9.2641
2176,450000,66.009
2187,452000,49.6023
2197,454000,-267.8723
2206,456000,-195.1212
2215,458000,-101.9134
2225,460000,-118.7649
2235,462000,-103.699
2245,464000,-135.1774
2255,466000,-0.473
2265,468000,-23.3926
2274,470000,-72.0656
2284,472000,-87.7681
2294,474000,7.656
2304,476000,-31.2645
2314,478000,-109.0923
2323,480000,-193.2325
2333,482000,-118.5559
2342,484000,-132.6607
2352,486000,29.9019
2363,488000,8.5471
2373,490000,-229.1077
2383,492000,-219.9759
2392,494000,-178.7409
2402,496000,-172.5295
2411,498000,1.293
2421,500000,-29.8741
2430,502000,-334.4303
2440,504000,-225.4052
2449,506000,16.2446
2458,508000,-65.1154
2468,510000,1.7241
2477,512000,-63.1835
2487,514000,-108.6721
2497,516000,8.9017
2507,518000,-6.9776
2517,520000,-44.5216
2526,522000,33.373
2537,524000,21.7176
2547,526000,-33.9384
2556,528000,-14.0941
2566,530000,-85.4455
2575,532000,13.7527
2584,534000,-80.9306
2595,536000,-23.7747
2604,538000,-34.187
2614,540000,17.564
2624,542000,60.612
2633,544000,6.1113
2643,546000,-65.8308
2653,548000,-109.9242
2662,550000,-24.5803
2672,552000,-14.9643
2682,554000,20.3958
2691,556000,36.0771
2701,558000,-5.0132
2712,560000,26.5246
2722,562000,7.2502
2732,564000,81.1504
2742,566000,-36.741
2751,568000,48.1439
2762,570000,49.1078
2772,572000,-9.7954
2782,574000,11.7747
2791,576000,14.9065
2801,578000,20.4566
2811,580000,54.9866
2821,582000,34.7427
2832,584000,3.8524
2842,586000,108.7478
2851,588000,51.2982
2862,590000,60.9083
2872,592000,42.466
2882,594000,63.2844
2891,596000,137.2288
2902,598000,32.7803
2912,600000,22.6666
2921,602000,36.8872
2931,604000,0.3918
2941,606000,43.7604
2951,608000,38.3472
2962,610000,69.4979
2972,612000,3.2021
2982,614000,89.8657
2992,616000,31.6058
3002,618000,-38.7007
3012,620000,56.9945
3022,622000,22.0236
3031,624000,78.0715
3041,626000,16.1605
3051,628000,41.5142
3061,630000,64.9122
3072,632000,106.6478
3083,634000,52.5787
3091,636000,17.0742
3102,638000,45.5486
3111,640000,24.9821
3122,642000,42.8809
3132,644000,53.9061
3143,646000,38.4642
3153,648000,107.3491
3163,650000,47.918
3174,652000,67.638
3185,654000,41.7645
3194,656000,5.788
3205,658000,49.9194
3215,660000,24.509
3225,662000,15.4919
3235,664000,-9.6887
3244,666000,-15.2504
3254,668000,110.2565
3264,670000,-5.1253
3274,672000,-24.0496
3284,674000,11.3579
3294,676000,76.7233
3304,678000,-11.5348
3315,680000,79.2882
3325,682000,70.12
3336,684000,61.9257
3346,686000,-75.5512
3355,688000,-45.3975
3365,690000,-29.1082
3374,692000,44.1339
3384,694000,10.1368
3394,696000,7.0274
3404,698000,26.513
3414,700000,-21.3621
3424,702000,95.5649
3434,704000,125.1428
3443,706000,-6.3988
3453,708000,-57.36
3463,710000,48.9037
3473,712000,9.5296
3483,714000,55.1766
3493,716000,24.3555
3504,718000,20.9661
3514,720000,100.3596
3525,722000,22.7559
3535,724000,-38.9657
3546,726000,-35.6481
3557,728000,15.2604
3567,730000,-10.9887
3577,732000,62.7523
3587,734000,28.1831
3598,736000,53.1454
3608,738000,106.788
3619,740000,46.5587
3627,742000,-25.4175
3637,744000,-50.4614
3647,746000,-55.5545
3657,748000,-57.4626
3667,750000,-6.2672
3677,752000,-7.6066
3686,754000,-13.0654
3696,756000,42.2891
3706,758000,-30.555
3715,760000,21.6984
3725,762000,84.911
3735,764000,43.7191
3744,766000,-63.3141
3754,768000,-18.4818
3764,770000,-14.7051
3774,772000,-37.4416
3784,774000,10.8655
3794,776000,-32.1605
3805,778000,-41.1835
3815,780000,-58.8644
3824,782000,2.8468
3833,784000,-73.1287
3843,786000,37.4635
3854,788000,47.4405
3863,790000,46.7568
3873,792000,48.4925
3882,794000,-39.7499
3892,796000,-1.5356
3903,798000,64.0231
3913,800000,81.1462
3924,802000,29.0485
3934,804000,4.8609
3944,806000,12.034
3955,808000,51.8154
3964,810000,51.7779
3975,812000,34.1642
3986,814000,1.1254
3995,816000,46.5607
4005,818000,-38.499
4016,820000,51.5825
4026,822000,91.197
4036,824000,77.9324
4047,826000,1.9105
4057,828000,-34.1167
4066,830000,17.5713
4075,832000,12.7084
4085,834000,-31.3649
4095,836000,89.1711
4106,838000,2.3182
4116,840000,3.5981
4125,842000,34.0237
4135,844000,30.1947
4145,846000,79.2921
4154,848000,65.212
4164,850000,77.7938
4174,852000,147.8122
4183,854000,15.4648
4193,856000,-69.4338
4204,858000,33.0239
4214,860000,146.6352
4224,862000,136.7033
4234,864000,8.0462
4244,866000,58.4634
4253,868000,27.1609
4263,870000,44.0859
4272,872000,101.753
4282,874000,75.9947
4292,876000,28.5286
4302,878000,-5.6345
4312,880000,32.3513
4321,882000,120.8085
4331,884000,70.7845
4340,886000,-2.8468
4350,888000,67.7262
4361,890000,31.5603
4371,892000,8.0891
4381,894000,-7.142
4391,896000,82.5354
4401,898000,36.4688
4411,900000,244.1399
4420,902000,87.5281
4430,904000,37.3913
4440,906000,111.1458
4450,908000,110.2535
4460,910000,13.7916
4470,912000,82.3339
4480,914000,164.7201
4489,916000,164.4148
4500,918000,23.128
4510,920000,61.9822
4520,922000,169.2544
4529,924000,314.7
4539,926000,-10.6015
4548,928000,245.8914
4559,930000,86.6465
4568,932000,47.2275
4578,934000,57.0278
4587,936000,28.9279
4597,938000,62.134
4607,940000,8.5472
4617,942000,37.1658
4627,944000,198.7863
4636,946000,64.9324
4646,948000,23.0553
4655,950000,25.483
4665,952000,19.1722
4674,954000,146.6856
4684,956000,10.5493
4694,958000,71.2267
4704,960000,39.2524
4713,962000,90.5999
4722,964000,82.4421
4733,966000,77.0237
4742,968000,66.3234
4752,970000,101.6207
4761,972000,16.3629
4770,974000,-27.7596
4779,976000,108.02
4790,978000,33.5076
4800,980000,35.0563
4809,982000,67.4523
4820,984000,27.056
4830,986000,46.2224
4840,988000,123.2952
4850,990000,40.8164
4860,992000,47.4514
4870,994000,66.404
4881,996000,76.3638
4890,998000,143.0161
4899,1000000,78.7127
