episode,timestep,reward
8,2000,-123.2757
18,4000,-333.8902
28,6000,-135.9163
38,8000,-233.3337
48,10000,-162.3118
57,12000,-169.2114
67,14000,-248.6717
77,16000,-233.6148
86,18000,-358.4445
95,20000,-216.1139
104,22000,-296.4756
113,24000,-92.7866
123,26000,-286.5179
133,28000,-360.8449
142,30000,-347.2297
150,32000,-96.2877
160,34000,-395.8454
170,36000,-396.0088
179,38000,-252.2349
190,40000,-168.3903
199,42000,-182.5879
209,44000,-185.2422
218,46000,-147.257
226,48000,-13.6198
236,50000,-110.0786
244,52000,-21.7403
254,54000,-126.517
264,56000,-341.5204
274,58000,-148.8507
283,60000,-217.4665
292,62000,-173.9647
302,64000,-244.7678
311,66000,-239.6021
321,68000,-141.774
329,70000,-426.6805
339,72000,-229.3028
348,74000,-340.1254
358,76000,-188.6258
367,78000,-186.5168
376,80000,-277.4772
385,82000,-136.7576
394,84000,-293.5696
403,86000,-75.5346
412,88000,-252.8762
421,90000,-132.1223
431,92000,-160.0906
440,94000,-159.2011
450,96000,-258.9652
459,98000,-214.6116
468,100000,-181.6958
478,102000,-63.5229
488,104000,-124.3114
497,106000,-123.9009
507,108000,-98.36
517,110000,-208.9864
526,112000,-343.6412
536,114000,-267.7988
546,116000,-300.9733
556,118000,-245.5087
565,120000,-109.5072
575,122000,-271.7946
584,124000,-190.2166
594,126000,-47.3166
603,128000,-296.0546
613,130000,-188.0171
622,132000,-227.859
631,134000,-199.8504
641,136000,-135.4657
650,138000,-161.8605
659,140000,-180.7453
669,142000,-105.2303
678,144000,-193.0592
687,146000,-233.1833
697,148000,-189.266
706,150000,-290.5816
715,152000,-122.5586
724,154000,-318.7365
734,156000,-168.6574
743,158000,-189.6799
753,160000,-187.1107
762,162000,-153.4792
772,164000,-139.5444
781,166000,-171.7802
791,168000,-226.9102
800,170000,-217.3784
809,172000,-96.244
819,174000,-216.9848
829,176000,-105.4889
839,178000,-144.5906
848,180000,-147.5122
857,182000,-263.7086
867,184000,-383.3299
876,186000,-262.9647
885,188000,-286.5328
894,190000,-349.6033
904,192000,-211.1443
914,194000,-220.6806
923,196000,-145.8846
933,198000,-57.5367
942,200000,-49.4388
951,202000,-134.4251
961,204000,-194.872
971,206000,-306.4596
980,208000,-280.0515
989,210000,-349.471
999,212000,-196.4225
1008,214000,-252.4146
1017,216000,-224.8846
1027,218000,-304.4245
1036,220000,-120.0464
1045,222000,-240.9783
1055,224000,-121.2493
1064,226000,-251.6904
1074,228000,-252.6238
1083,230000,-132.1513
1093,232000,-305.2261
1103,234000,-171.164
1112,236000,-283.4383
1121,238000,-54.6853
1131,240000,-86.2945
1140,242000,-154.4687
1150,244000,-158.7429
1159,246000,-237.3604
1169,248000,-90.9945
1178,250000,-200.8772
1187,252000,-205.8509
1197,254000,-150.7424
1206,256000,-204.9726
1216,258000,-134.2457
1225,260000,72.659
1235,262000,-44.4838
1245,264000,-87.3426
1255,266000,-35.827
1266,268000,-205.5994
1276,270000,-154.0389
1285,272000,-180.476
1295,274000,-98.9145
1304,276000,-5.1169
1314,278000,-192.7602
1324,280000,-167.4839
1334,282000,21.8296
1343,284000,-131.5538
1353,286000,-160.79
1362,288000,-86.5406
1372,290000,11.4968
1381,292000,-168.2484
1391,294000,-129.2898
1401,296000,-149.38
1411,298000,-74.3858
1421,300000,-126.6114
1430,302000,-131.6551
1440,304000,-116.8414
1450,306000,-150.0961
1459,308000,-17.8778
1469,310000,-261.3055
1478,312000,-204.077
1488,314000,-97.3928
1497,316000,-76.8527
1507,318000,-139.0712
1516,320000,-183.102
1526,322000,-79.6789
1535,324000,-54.643
1544,326000,-135.1513
1554,328000,-62.0457
1564,330000,-129.3653
1575,332000,-147.4089
1584,334000,-130.4386
1594,336000,-39.5514
1604,338000,-104.3925
1614,340000,-134.2886
1624,342000,-113.9511
1634,344000,-86.2374
1643,346000,-166.5768
1653,348000,-43.5612
1662,350000,-40.7045
1672,352000,-98.6339
1681,354000,-0.8634
1692,356000,-116.6561
1702,358000,-17.4135
1711,360000,-122.5615
1721,362000,-94.9693
1731,364000,-57.9216
1741,366000,-102.0643
1751,368000,-121.9363
1761,370000,-66.8567
1770,372000,-72.6786
1780,374000,-119.3695
1790,376000,-123.833
1800,378000,109.6901
1809,380000,22.8271
1818,382000,-57.791
1828,384000,-104.9347
1838,386000,-117.7625
1847,388000,-133.8052
1857,390000,13.2969
1867,392000,-38.8841
1877,394000,-70.4596
1886,396000,34.7921
1896,398000,-1.4946
1906,400000,-71.7888
1916,402000,-67.1644
1926,404000,-50.4857
1935,406000,-61.5847
1945,408000,46.3202
1954,410000,-33.9506
1964,412000,-27.7517
1974,414000,-93.3398
1984,416000,14.5841
1993,418000,-215.5872
2003,420000,17.1948
2013,422000,11.2223
2022,424000,-44.2515
2032,426000,-28.6623
2043,428000,-13.5151
2052,430000,72.1343
2062,432000,27.0669
2071,434000,-4.3206
2080,436000,-31.2718
2090,438000,-154.838
2100,440000,-67.4726
2110,442000,51.8677
2121,444000,-46.2695
2131,446000,-11.372
2141,448000,-47.689
